IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.132.184,443,443,true,HKG,Asia Pacific,Hong Kong,45,0.03
152.32.130.150,806,443,true,HKG,Asia Pacific,Hong Kong,77,0.00
47.243.173.187,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,0.00
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,0.00
8.210.192.93,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,0.00
47.238.6.102,8880,8880,false,HKG,Asia Pacific,Hong Kong,30,0.00
47.243.173.187,8880,8880,false,HKG,Asia Pacific,Hong Kong,31,0.00
47.76.29.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,0.00
47.76.213.245,8443,8443,true,HKG,Asia Pacific,Hong Kong,29,0.00
8.210.48.107,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,0.00
8.210.21.65,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,0.00
219.76.13.186,443,443,true,HKG,Asia Pacific,Hong Kong,199,0.00
47.243.86.79,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,0.00
8.210.245.224,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,0.00
219.76.13.183,443,443,true,HKG,Asia Pacific,Hong Kong,199,0.00
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,29,0.00
8.217.149.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,31,0.00
8.217.123.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,35,0.00
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,46,0.00
8.210.21.65,2086,2086,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.217.91.121,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,0.00
154.3.38.140,22387,80,false,HKG,Asia Pacific,Hong Kong,51,0.00
47.243.139.85,80,80,false,HKG,Asia Pacific,Hong Kong,43,0.00
47.238.5.0,2083,2083,true,HKG,Asia Pacific,Hong Kong,31,0.00
47.76.225.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,0.00
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,0.00
8.218.8.142,8880,8880,false,HKG,Asia Pacific,Hong Kong,56,0.00
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,48,0.00
8.210.34.188,2087,2087,true,HKG,Asia Pacific,Hong Kong,32,0.00
8.218.211.17,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,0.00
47.76.225.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,0.00
8.217.72.0,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,0.00
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,0.00
8.210.55.134,2052,2052,false,HKG,Asia Pacific,Hong Kong,60,0.00
8.210.244.38,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,0.00
43.154.230.30,443,443,true,HKG,Asia Pacific,Hong Kong,31,0.00
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,0.00
47.238.6.102,2052,0,false,HKG,Asia Pacific,Hong Kong,37,0.00
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,33,0.00
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,32,0.00
8.217.207.60,2052,2052,false,HKG,Asia Pacific,Hong Kong,65,0.00
47.238.43.79,2096,0,true,HKG,Asia Pacific,Hong Kong,35,0.00
120.220.19.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,75,0.00
8.218.222.36,2052,2052,false,HKG,Asia Pacific,Hong Kong,30,0.00
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,24,0.00
8.218.207.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,33,0.00
