IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.180.51,2082,2082,false,SIN,Asia Pacific,Singapore,103,8.38
8.219.6.150,2082,2082,false,SIN,Asia Pacific,Singapore,63,8.37
8.219.199.220,2052,2052,false,SIN,Asia Pacific,Singapore,124,8.34
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,63,8.32
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,106,8.32
8.219.132.64,2082,2082,false,SIN,Asia Pacific,Singapore,107,8.30
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,253,8.30
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,129,8.28
47.237.84.173,2082,2082,false,SIN,Asia Pacific,Singapore,264,8.22
47.237.121.38,2086,2086,false,SIN,Asia Pacific,Singapore,263,8.16
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,105,8.13
47.236.174.206,2052,2052,false,SIN,Asia Pacific,Singapore,106,8.06
47.236.123.133,8880,0,false,SIN,Asia Pacific,Singapore,107,7.97
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,102,7.96
8.219.177.205,2082,2082,false,SIN,Asia Pacific,Singapore,98,7.89
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,101,7.87
8.222.179.231,8880,8880,false,SIN,Asia Pacific,Singapore,68,7.84
8.219.110.81,80,0,false,SIN,Asia Pacific,Singapore,64,7.83
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,111,7.78
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,66,7.76
8.219.114.201,2095,2095,false,SIN,Asia Pacific,Singapore,129,7.74
8.219.174.213,80,80,false,SIN,Asia Pacific,Singapore,102,7.72
47.237.121.38,8443,8443,true,SIN,Asia Pacific,Singapore,268,7.71
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,106,7.69
8.219.193.202,2096,2096,true,SIN,Asia Pacific,Singapore,128,7.60
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,264,7.59
47.236.10.100,8080,8080,false,SIN,Asia Pacific,Singapore,105,7.55
8.222.134.170,8080,8080,false,SIN,Asia Pacific,Singapore,61,7.54
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,105,7.54
47.236.172.71,8880,8880,false,SIN,Asia Pacific,Singapore,108,7.53
47.236.167.231,2095,2095,false,SIN,Asia Pacific,Singapore,105,7.48
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,105,7.45
8.219.50.180,8080,8080,false,SIN,Asia Pacific,Singapore,125,7.44
8.219.51.211,8880,8880,false,SIN,Asia Pacific,Singapore,81,7.43
8.222.179.231,2095,2095,false,SIN,Asia Pacific,Singapore,62,7.38
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,74,7.38
8.222.244.192,80,80,false,SIN,Asia Pacific,Singapore,69,7.36
8.222.184.198,80,80,false,SIN,Asia Pacific,Singapore,63,7.27
8.222.193.65,8880,8880,false,SIN,Asia Pacific,Singapore,129,7.17
8.219.11.158,2052,2052,false,SIN,Asia Pacific,Singapore,58,7.16
8.219.198.139,2052,2052,false,SIN,Asia Pacific,Singapore,101,7.14
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,266,7.12
8.219.93.5,2086,2086,false,SIN,Asia Pacific,Singapore,69,7.10
8.219.248.47,2096,2096,true,SIN,Asia Pacific,Singapore,179,7.07
8.222.169.222,2052,2052,false,SIN,Asia Pacific,Singapore,78,7.01
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,257,6.88
